,id,id2,latitude,longitude
386,2910577,SAMEA2591084,None,None
387,2928092,SAMEA2591074,None,None
388,2928091,SAMEA2591057,None,None
389,3023109,SAMEA2620812,None,None
390,3067742,SAMEA2623868,None,None
391,3067739,SAMEA2623808,None,None
392,3067737,SAMEA2623774,None,None
393,3067733,SAMEA2623673,None,None
394,3067728,SAMEA2623463,None,None
395,3067711,SAMEA2622837,None,None
396,3023172,SAMEA2622800,None,None
397,3023147,SAMEA2621277,None,None
398,2910579,SAMEA2591108,None,None
399,2954314,SAMN02954314,None,None
400,3067741,SAMEA2623850,None,None
401,3067731,SAMEA2623627,None,None
402,3067718,SAMEA2623135,None,None
403,3067715,SAMEA2623079,None,None
404,3023178,SAMEA2622842,None,None
405,3023176,SAMEA2622823,None,None
406,3023175,SAMEA2622822,None,None
407,3023173,SAMEA2622801,None,None
408,3067709,SAMEA2622796,None,None
409,3023166,SAMEA2622737,None,None
410,3023162,SAMEA2622696,None,None
411,3023161,SAMEA2622695,None,None
412,3067705,SAMEA2622690,None,None
413,3067698,SAMEA2622478,None,None
414,3067697,SAMEA2622452,None,None
415,3067690,SAMEA2622219,None,None
416,3067688,SAMEA2622173,None,None
417,3067686,SAMEA2622119,None,None
418,3023128,SAMEA2621075,None,None
419,3067642,SAMEA2620570,None,None
420,3067636,SAMEA2620217,None,None
421,3023092,SAMEA2619974,None,None
422,3067626,SAMEA2619907,None,None
423,3067620,SAMEA2619782,None,None
424,3067619,SAMEA2619766,None,None
425,3067618,SAMEA2619678,None,None
426,3067617,SAMEA2619667,None,None
427,3023077,SAMEA2619548,None,None
428,3067616,SAMEA2619399,None,None
429,2928096,SAMEA2591122,None,None
430,3067743,SAMEA2623886,None,None
431,3067736,SAMEA2623756,None,None
432,3067735,SAMEA2623734,None,None
433,3067729,SAMEA2623488,None,None
434,3067727,SAMEA2623446,None,None
435,3067726,SAMEA2623426,None,None
436,3067725,SAMEA2623390,None,None
437,3067724,SAMEA2623370,None,None
438,3067722,SAMEA2623314,None,None
439,3067721,SAMEA2623295,None,None
440,3067720,SAMEA2623275,None,None
441,3023179,SAMEA2622843,None,None
442,3023170,SAMEA2622765,None,None
443,3023169,SAMEA2622764,None,None
444,3023164,SAMEA2622716,None,None
445,3023163,SAMEA2622715,None,None
446,3067706,SAMEA2622710,None,None
447,3067704,SAMEA2622673,None,None
448,3067701,SAMEA2622545,None,None
449,3067700,SAMEA2622518,None,None
450,3067696,SAMEA2622429,None,None
451,3067687,SAMEA2622149,None,None
452,3067678,SAMEA2621812,None,None
453,3067677,SAMEA2621779,None,None
454,3067676,SAMEA2621551,None,None
455,3067673,SAMEA2621487,None,None
456,3067672,SAMEA2621423,None,None
457,3023140,SAMEA2621221,None,None
458,3023137,SAMEA2621203,None,None
459,3067663,SAMEA2621155,None,None
